hash_md5,sha1,sha256,extension,filetype,mimetype,size,fecha_escaneo_vt,dia_escaneo_vt,fecha_agregado_virusshare,dia_agregado_virusshare,vt_positives,vt_total,detection_ratio,motores_detectaron,familia_probable,familia_score,familias_top,tipo_probable,tipo_score,tipos_top,detecciones_top,permalink,reporte_path
001161226b5fbe4294fbca2248efb1ae,563230d4caaf8eba4b040b977b2b4b6309e491dd,2051c4a330cad050fdbcd413e00da608cf564ec0ea3e364f5c40817f164a478e,exe,"PE32 executable (GUI) Intel 80386, for MS Windows",application/x-dosexec,212992,2021-11-11T23:46:43+00:00,2021-11-11,2021-11-18T01:43:57+00:00,2021-11-18,54,68,0.7941,54,cqst,0.1111,cqst:6;nobady:3;aenjaris:3;aidetect:1;asbol:1,trojan,0.463,trojan:25;virus:1,Virus.Win32.Save.a;Generic.mg.001161226b5fbe42;W32.AIDetect.malware2;TROJ_NOBADY.SM;Trojan/Generic.ASBOL.C536;W32/Agent.WTK!tr;Trojan ( 005701231 );Trojan.Agent.antno;Trj/Genetic.gen;Gen:NN.ZexaF.34266.nq0@aiRt5@ai,https://www.virustotal.com/gui/file/2051c4a330cad050fdbcd413e00da608cf564ec0ea3e364f5c40817f164a478e/detection/f-2051c4a330cad050fdbcd413e00da608cf564ec0ea3e364f5c40817f164a478e-1636674403,clasificacion\VirusShare_00499\reportes\reporte\001161226b5fbe4294fbca2248efb1ae.json
001230c0a001dff449342e454765b2d7,8165b2785b51e0c8e1c7520b6e89c5215267f984,e9f9b0a40df93886e55e62b2f037293acd92edd1e302505d3dd9a8cb1b9ac9db,pdf,"PDF document, version 1.4",application/pdf,82408,2021-11-14T16:10:24+00:00,2021-11-14,2021-11-17T09:46:45+00:00,2021-11-17,26,59,0.4407,26,,0.0,camelot:1;malurl:1,phishing,0.4615,phishing:12;trojan:7;stealer:2,PDF/Phishing.Agent.NDP;PDF.Spam.Heur.1;Pdf.Trojan.Spam.Jy;PDF.Z.Agent.82408.CD;PDF.Spam.Heur.1;malware (ai score=88);PDF.Spam.Heur.1 (B);PDF.Phisher.300;PDF:PhishingX-gen [Phish];HTML/Malicious.PDF.Gen2,https://www.virustotal.com/gui/file/e9f9b0a40df93886e55e62b2f037293acd92edd1e302505d3dd9a8cb1b9ac9db/detection/f-e9f9b0a40df93886e55e62b2f037293acd92edd1e302505d3dd9a8cb1b9ac9db-1636906224,clasificacion\VirusShare_00499\reportes\reporte\001230c0a001dff449342e454765b2d7.json
0012a056475efe5875509a774b031aae,9bec46332e87c9169eb030e95bd048e2c4bfd4f6,44f6638002da077eabb8925a44795e6d91f7231bc1ddffad320812a5ef1e6800,,"UTF-8 Unicode text, with very long lines",text/plain,215319,2021-11-13T15:06:18+00:00,2021-11-13,2021-11-17T02:54:24+00:00,2021-11-17,5,56,0.0893,5,faceliker,0.2,faceliker:1;iframe:1;cryxos:1;brocoiner:1,trojan,1.0,trojan:5,JS.Trojan.Agent.42292;Trojan.FaceLiker/JS!1.BAA9 (CLASSIC);Trojan.Iframe.JS.3;Trojan.JS.Cryxos;Trojan:HTML/Brocoiner,https://www.virustotal.com/gui/file/44f6638002da077eabb8925a44795e6d91f7231bc1ddffad320812a5ef1e6800/detection/f-44f6638002da077eabb8925a44795e6d91f7231bc1ddffad320812a5ef1e6800-1636815978,clasificacion\VirusShare_00499\reportes\reporte\0012a056475efe5875509a774b031aae.json
00145f9c9d2b3c8638545db24314546f,5f0b393598623d698833637cea2ceeda97e2caef,123a7bc83228dd0baf5ce2e7988f1b3779dbf48fee6e4d055a6e07ff0fc498a3,pdf,"PDF document, version 1.4",application/pdf,70402,2021-11-12T22:13:10+00:00,2021-11-12,2021-11-17T13:05:45+00:00,2021-11-17,24,59,0.4068,24,,0.0,camelot:1;sabsik:1;malurl:1,phishing,0.4167,phishing:10;trojan:5;stealer:1,HTML/Malicious.PDF.Gen2;PDF.Spam.Heur.1 (B);Trojan.Phishing/PDF!1.D8B8 (CLASSIC);Malicious (score: 99);PDF/Phishing.818B!tr;Trojan/Generic.ASMalwRG.151;PDF/Phishing.Agent.NDP;PDF:PhishingX-gen [Phish];PDF.Spam.Heur.1;BehavesLike.PDF.Suspicious.kb,https://www.virustotal.com/gui/file/123a7bc83228dd0baf5ce2e7988f1b3779dbf48fee6e4d055a6e07ff0fc498a3/detection/f-123a7bc83228dd0baf5ce2e7988f1b3779dbf48fee6e4d055a6e07ff0fc498a3-1636755190,clasificacion\VirusShare_00499\reportes\reporte\00145f9c9d2b3c8638545db24314546f.json
00156654d1857c952de2f7f46f65a7eb,3be5cd19fe4e6a440eccfdc1b34628cb2ef3b230,b918dadb258a30288ec672acbcc79b1abd70577be03bf197e421dc5f5b4836f1,exe,"PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows",application/x-dosexec,9127101,2021-11-13T23:15:42+00:00,2021-11-13,2021-11-17T23:36:47+00:00,2021-11-17,38,66,0.5758,38,atcpa,0.2632,atcpa:10;hllp:7;birich:7;ftcpa:2;aidetect:1,virus,0.1053,trojan:4;virus:4;ransomware:1,Generic.mg.00156654d1857c95;W32.AIDetect.malware2;PE_FTCPA.A;Trojan/Generic.ASVirus.30F;W32/HLLP.Atcpa;Ransom.Win32.Gen.oa!s1;Trojan ( 005824ff1 );Win32.Birich.44103;Malicious (score: 100);W32/Atcpa,https://www.virustotal.com/gui/file/b918dadb258a30288ec672acbcc79b1abd70577be03bf197e421dc5f5b4836f1/detection/f-b918dadb258a30288ec672acbcc79b1abd70577be03bf197e421dc5f5b4836f1-1636845342,clasificacion\VirusShare_00499\reportes\reporte\00156654d1857c952de2f7f46f65a7eb.json
001758b161f0862e30827fbf0a226702,a6b5ed8ca8ec935085137714364ce36e91286e4b,da427c08d34e8da3ef951550c28c52af95f6fc07c518acf0135cc640cd4399a0,pdf,"PDF document, version 1.4",application/pdf,76301,2021-11-15T15:05:25+00:00,2021-11-15,2021-11-17T10:58:22+00:00,2021-11-17,26,60,0.4333,26,,0.0,gerphish:1;camelot:1;malurl:1,phishing,0.3846,phishing:10;trojan:7;stealer:2,Trojan.PDF.stealer.phishing.e;HTML/Malicious.PDF.Gen2;Trojan.Phishing!1.D9C3 (CLASSIC);Malicious (score: 99);Pdf.Trojan.Spam.Kd;PDF/Phishing.4BCA!tr;Trojan/Generic.ASMalwRG.150;PDF/Phishing.A.Gen;PDF:PhishingX-gen [Phish];PDF.Spam.Heur.1,https://www.virustotal.com/gui/file/da427c08d34e8da3ef951550c28c52af95f6fc07c518acf0135cc640cd4399a0/detection/f-da427c08d34e8da3ef951550c28c52af95f6fc07c518acf0135cc640cd4399a0-1636988725,clasificacion\VirusShare_00499\reportes\reporte\001758b161f0862e30827fbf0a226702.json
0017e88562324dba4c5309c940ea7b84,f1fa73954b4a7cb0e4ec9e63d59251830cea246a,4e77d6e7014f7f99d50d45d11c0f0a20107c57eb985e3d83ae9633778370755c,exe,"PE32+ executable (console) x86-64, for MS Windows",application/x-dosexec,23132,2021-11-14T16:16:34+00:00,2021-11-14,2021-11-17T03:10:56+00:00,2021-11-17,13,64,0.2031,13,tedy,0.6154,tedy:8;ipamor:1,trojan,0.1538,trojan:2,W64/Ipamor.DF.gen!Eldorado;W64/Agent.6C67!tr;Gen:Variant.Tedy.7763;Gen:Variant.Tedy.7763 (B);malware (ai score=80);Gen:Variant.Tedy.7763;Gen:Variant.Tedy.7763;Unsafe;Gen:Variant.Tedy.7763;Gen:Variant.Tedy.7763,https://www.virustotal.com/gui/file/4e77d6e7014f7f99d50d45d11c0f0a20107c57eb985e3d83ae9633778370755c/detection/f-4e77d6e7014f7f99d50d45d11c0f0a20107c57eb985e3d83ae9633778370755c-1636906594,clasificacion\VirusShare_00499\reportes\reporte\0017e88562324dba4c5309c940ea7b84.json
00182ec997a2e3111dccd4a1c234be8d,a7f18c2309be991b979f6d39b1f00a4ffa3282da,97d22660e5b473db5142fc5a6df8bf7fc4c1675cdfb61b253fbf1eb50f47d462,,ASCII text,text/plain,4439,2021-11-14T20:36:33+00:00,2021-11-14,2021-11-17T18:59:22+00:00,2021-11-17,13,56,0.2321,13,cryxos,0.6154,cryxos:8;astvirus:1,trojan,0.8462,trojan:11;redirector:1,Trojan.Cryxos.JS.4;JS:Trojan.Cryxos.6249;Trojan/Generic.ASTVirus.5B;JS:Trojan.Cryxos.6249;JS:Trojan.Cryxos.6249;Trojan.Script;JS:Trojan.Cryxos.6249;JS/Redirector.OVN;JS:Trojan.Cryxos.6249;JS:Trojan.Cryxos.6249 (B),https://www.virustotal.com/gui/file/97d22660e5b473db5142fc5a6df8bf7fc4c1675cdfb61b253fbf1eb50f47d462/detection/f-97d22660e5b473db5142fc5a6df8bf7fc4c1675cdfb61b253fbf1eb50f47d462-1636922193,clasificacion\VirusShare_00499\reportes\reporte\00182ec997a2e3111dccd4a1c234be8d.json
0019ab4ca62220d807fbd67e144b92cf,e5cc0e33b4b06883a24f47326d0181e5b82ab94d,b048eec3d68de702f63a78bb93f9159cedfdc33ec3fc82b5d82d3c279f7b768d,pdf,"PDF document, version 1.4",application/pdf,73167,2021-11-11T11:34:43+00:00,2021-11-11,2021-11-17T22:36:40+00:00,2021-11-17,29,60,0.4833,29,,0.0,camelot:1;static:1;malurl:1,phishing,0.4483,phishing:13;trojan:7;stealer:1,Phishing.Generic-PDF.Save.31d82dfe;PDF.Spam.Heur.1;Malicious (score: 99);Trojan/Generic.ASMalwRG.151;PDF/Phishing.4BCA!tr;Trojan.Pdf.Phishing.e;PDF.Spam.Heur.1;PDF/Phish-FAB!0019AB4CA622;Trojan.Phishing/PDF!1.D56E (CLASSIC);PDF.Trojan-Stealer.Phishing.E,https://www.virustotal.com/gui/file/b048eec3d68de702f63a78bb93f9159cedfdc33ec3fc82b5d82d3c279f7b768d/detection/f-b048eec3d68de702f63a78bb93f9159cedfdc33ec3fc82b5d82d3c279f7b768d-1636630483,clasificacion\VirusShare_00499\reportes\reporte\0019ab4ca62220d807fbd67e144b92cf.json
0019db8f7f1c3eff59001982e9a1a177,6e8b76d7de34560de30a399291a5629497ba2cab,4b9b9346d96f6fdeec6a6bb13becac2ab8169d59f1e7c86723145db888b7b17b,exe,"PE32 executable (GUI) Intel 80386, for MS Windows",application/x-dosexec,2089472,2021-11-10T19:11:58+00:00,2021-11-10,2021-11-18T07:13:46+00:00,2021-11-18,52,67,0.7761,52,,0.0,salgorea:5;dynamer:2;strictor:1;elvcno:1;gencirc:1,trojan,0.4231,trojan:22;backdoor:4;dropper:3,Backdoor.Win32.Salgorea.ie;Trojan.GenericKD.46915368;Backdoor/W32.Agent.2089472.B;Backdoor.Salgorea;Trojan.GenericKD.46915368;W32/Salgorea.L.gen!Eldorado;Trojan.Win32.Strictor.elvcno;Trojan.Win32.Save.a;Unsafe.AI_Score_99%;Win32:Trojan-gen,https://www.virustotal.com/gui/file/4b9b9346d96f6fdeec6a6bb13becac2ab8169d59f1e7c86723145db888b7b17b/detection/f-4b9b9346d96f6fdeec6a6bb13becac2ab8169d59f1e7c86723145db888b7b17b-1636571518,clasificacion\VirusShare_00499\reportes\reporte\0019db8f7f1c3eff59001982e9a1a177.json
001c7c17dd6ed17d40a948b30312888b,8fedc873fc163f6c9d3f6c9d1623067ab88c233b,0367541d25886880a1850198385bf58fa9c21c8387e1b504c7572f9443e9d940,pdf,"PDF document, version 1.4",application/pdf,38507,2021-11-11T18:35:05+00:00,2021-11-11,2021-11-17T04:57:18+00:00,2021-11-17,11,57,0.193,11,,0.0,camelot:1;malurl:1;artemis:1;minerva:1;oobck:1,phishing,0.5455,phishing:6;trojan:5;stealer:1,Malicious (score: 99);PDF/Phish.U.gen!Camelot;BehavesLike.PDF.Trojan.nb;PDF/Phishing.4BCA!tr;Trojan.Phishing!1.D9C3 (CLASSIC);Phishing/PDF.Malurl.XG5;PDF.Trojan-Stealer.Phishing.E;Trojan.PDF.Phishing;Artemis!001C7C17DD6E;Trojan/Generic.ASMalwRG.151,https://www.virustotal.com/gui/file/0367541d25886880a1850198385bf58fa9c21c8387e1b504c7572f9443e9d940/detection/f-0367541d25886880a1850198385bf58fa9c21c8387e1b504c7572f9443e9d940-1636655705,clasificacion\VirusShare_00499\reportes\reporte\001c7c17dd6ed17d40a948b30312888b.json
001ce9fd454cf0f313fcead90784922d,6b2f909384250bff948432e045abf5c4fda1d7b8,82bbc93f8b041a747819e9366616f8187dd06e6a8a5abe41e75c958e61e970ed,pdf,"PDF document, version 1.4",application/pdf,116294,2021-11-15T08:26:18+00:00,2021-11-15,2021-11-18T01:06:21+00:00,2021-11-18,26,60,0.4333,26,,0.0,gerphish:1;camelot:1;malurl:1,phishing,0.4231,phishing:11;trojan:7;stealer:2,PDF.Spam.Heur.1;Malicious (score: 99);Trojan/Generic.ASMalwRG.150;PDF/Phishing.4BCA!tr;Trojan.WIN32.stealer.phishing.e;PDF.Spam.Heur.1;PDF/Phish-FOH!001CE9FD454C;Trojan.Phishing!1.D9C3 (CLASSIC);PDF.Trojan-Stealer.Phishing.E;PDF.Phishing.44412,https://www.virustotal.com/gui/file/82bbc93f8b041a747819e9366616f8187dd06e6a8a5abe41e75c958e61e970ed/detection/f-82bbc93f8b041a747819e9366616f8187dd06e6a8a5abe41e75c958e61e970ed-1636964778,clasificacion\VirusShare_00499\reportes\reporte\001ce9fd454cf0f313fcead90784922d.json
001d012ca909c2ed915b1ea05bbaa015,5c7e08d8e07ffe094355e82d4561a8e77cc62690,f95e30cb3d275bb704fd5d2e1ce7898f6086e34593860d0891d6e3152cce0056,html,"HTML document, UTF-8 Unicode text, with very long lines",text/html,13333,2021-11-16T17:38:35+00:00,2021-11-16,2021-11-17T23:55:24+00:00,2021-11-17,17,58,0.2931,17,,0.0,,trojan,0.4706,trojan:8;phishing:6,Trojan.GenericKD.47400699;Malicious (score: 99);Trojan/Generic.ASMalwRG.14E;HTML/Phishing.BIB!tr;Trojan.GenericKD.47400699;Trojan.GenericKD.47400699;Phishing.HTML.Doc;Trojan.GenericKD.47400699;HTML/Phishing.Agent.BKS;HTML:PhishingMail-AAM [Phish],https://www.virustotal.com/gui/file/f95e30cb3d275bb704fd5d2e1ce7898f6086e34593860d0891d6e3152cce0056/detection/f-f95e30cb3d275bb704fd5d2e1ce7898f6086e34593860d0891d6e3152cce0056-1637084315,clasificacion\VirusShare_00499\reportes\reporte\001d012ca909c2ed915b1ea05bbaa015.json
0020b9be54b2c7b661f04c559a3e0db4,5215aecaf2c667d24740b9e8d2b8189f051ead7b,3dbba91339a7f743a275a8dfe69e90a204e188837ec00819bba686545920d408,exe,"PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows, UPX compressed",application/x-dosexec,77824,2021-11-10T10:20:39+00:00,2021-11-10,2021-11-18T09:18:50+00:00,2021-11-18,49,66,0.7424,49,,0.0,clicker:2;genome:2;lamer:1;click:1;sdgrjkyvuds:1,trojan,0.4694,trojan:23;dropper:3;virus:1;ransomware:1,Virus.Win32.Lamer.ks;Trojan.GenericKD.45798479;Trojan.TR/Dropper.Gen;Trojan.Click;Trojan.GenericKD.45798479;W32/Agent.CGR.gen!Eldorado;Trojan.Clicker;Suspicious.Win32.Save.a;Win32:Malware-gen;Win32.Trojan.PSE.1I6SUSZ,https://www.virustotal.com/gui/file/3dbba91339a7f743a275a8dfe69e90a204e188837ec00819bba686545920d408/detection/f-3dbba91339a7f743a275a8dfe69e90a204e188837ec00819bba686545920d408-1636539639,clasificacion\VirusShare_00499\reportes\reporte\0020b9be54b2c7b661f04c559a3e0db4.json
